company,is_profitable,has_high_debt,has_strong_cash_flow,has_good_management,has_regulatory_issues,recommend_buy
Theta Corp,0.742,0.245,0.14,0.102,0.203,0
Zeta Enterprises,0.233,0.602,0.561,0.716,0.212,0
Alpha Solutions,0.698,0.34,0.155,0.957,0.149,1
Titan Innovations,0.807,0.73,0.536,0.973,0.082,0
Omega Capital,0.192,0.07,0.661,0.773,0.318,0
Cyber Ventures,0.163,0.355,0.67,0.702,0.351,0
Pi Solutions,0.462,0.27,0.925,0.688,0.06,0
Gamma Networks,0.401,0.066,0.913,0.567,0.281,0
Cyber Logistics,0.265,0.247,0.561,0.263,0.212,0
Zeta Industries,0.861,0.153,0.16,0.68,0.175,1
Rho Partners,0.861,0.011,0.721,0.682,0.177,1
Stellar Solutions,0.454,0.954,0.876,0.263,0.188,0
Upsilon Studios,0.609,0.153,0.763,0.539,0.225,0
Beta Startup,0.929,0.879,0.832,0.308,0.006,0
Apex Tech,0.978,0.533,0.126,0.66,0.502,0
Xi Partners,0.755,0.69,0.713,0.399,0.209,0
Pi Systems,0.064,0.021,0.554,0.588,0.001,0
Gamma Networks 73,0.514,0.278,0.485,0.539,0.116,0
Synapse Holdings,0.19,0.097,0.431,0.424,0.083,0
Eta Industries,0.403,0.339,0.862,0.249,0.043,0
Pi Tech,0.443,0.861,0.55,0.051,0.457,0
Pi Solutions 417,0.486,0.214,0.401,0.059,0.058,0
Aether Labs,0.155,0.297,0.969,0.579,0.122,0
Lambda Industries,0.961,0.08,0.186,0.595,0.25,1
Pi Capital,0.595,0.619,0.419,0.584,0.098,0
Upsilon Group,0.316,0.752,0.073,0.458,0.667,0
Epsilon Systems,0.37,0.158,0.834,0.704,0.487,0
Eta Logistics,0.264,0.89,0.742,0.155,0.093,0
Rho Studios,0.489,0.905,0.846,0.092,0.068,0
Nova Partners,0.706,0.561,0.112,0.945,0.296,0
Aether Logistics,0.43,0.042,0.365,0.933,0.674,0
Eta Ventures,0.78,0.884,0.406,0.621,0.014,0
Mu Holdings,0.025,0.737,0.332,0.931,0.149,0
Eta Dynamics,0.872,0.859,0.222,0.817,0.14,0
Beta Enterprises,0.398,0.279,0.069,0.773,0.079,0
Chi Corp,0.115,0.97,0.179,0.963,0.111,0
Phi Holdings,0.606,0.511,0.385,0.577,0.041,0
Omega Holdings,0.07,0.664,0.33,0.314,0.216,0
Aero Networks,0.402,0.296,0.127,0.42,0.306,0
Upsilon Dynamics,0.548,0.0,0.287,0.43,0.123,0
Xi Studios,0.473,0.901,0.796,0.17,0.017,0
Pi Global,0.225,0.199,0.024,0.245,0.126,0
Quantum Labs,0.4,0.148,0.688,0.893,0.166,0
Vanguard Group,0.05,0.249,0.848,0.456,0.204,0
Nova Media,0.815,0.892,0.427,0.907,0.171,0
Pi Innovations,0.766,0.521,0.627,0.275,0.021,0
Pinnacle Tech,0.138,0.231,0.694,0.706,0.015,0
Xi Holdings,0.389,0.77,0.946,0.02,0.277,0
Upsilon Dynamics 874,0.892,0.836,0.538,0.735,0.308,0
Nexus Solutions,0.841,0.92,0.981,0.534,0.296,0
Stellar Logistics,0.867,0.182,0.26,0.327,0.132,0
Aero Innovations,0.835,0.47,0.749,0.052,0.479,0
Gamma Corp,0.95,0.199,0.02,0.152,0.021,0
Rho Ventures,0.168,0.607,0.748,0.115,0.535,0
Quantum Dynamics,0.941,0.198,0.592,0.831,0.04,1
Theta Capital,0.783,0.347,0.428,0.371,0.149,0
Eta Holdings,0.961,0.636,0.829,0.707,0.075,0
Pinnacle Labs,0.465,0.826,0.592,0.322,0.057,0
Quantum Networks,0.029,0.851,0.182,0.212,0.285,0
Sigma Partners,0.01,0.948,0.086,0.72,0.084,0
Apex Group,0.793,0.093,0.222,0.692,0.061,1
Stellar Partners,0.331,0.703,0.271,0.251,0.04,0
