company,is_profitable,has_high_debt,has_strong_cash_flow,has_good_management,has_regulatory_issues,recommend_buy
Theta Corp,1,0,0,0,0,0
Pinnacle Tech,1,0,0,0,0,0
Aether Enterprises,1,1,1,0,0,0
Alpha Solutions,1,0,0,1,0,1
Zeta Dynamics,0,1,1,1,0,0
Pinnacle Startup,1,0,1,1,0,1
Omega Capital,0,0,1,1,1,0
Omicron Startup,1,0,1,0,0,1
Sigma Tech,1,0,1,0,0,1
Aether Systems,1,1,1,0,0,0
Phi Dynamics,0,0,1,1,0,0
Apex Dynamics,1,1,0,0,0,0
Pinnacle Innovations,1,0,1,0,1,0
Iota Studios,1,1,1,0,0,0
Stellar Media,0,0,1,1,1,0
Alpha Startup,1,0,0,1,0,1
Stellar Solutions,1,1,1,0,0,0
Mu Studios,1,1,0,1,0,0
Kappa Ventures,1,0,1,1,0,1
Phi Labs,0,1,1,1,0,0
Delta Systems,1,1,0,0,0,0
Pinnacle Logistics,0,0,1,0,1,0
Stellar Enterprises,1,1,1,1,0,0
Omega Group,1,0,0,0,0,0
Aether Systems 603,0,0,1,0,1,0
Chi Tech,1,0,1,1,0,1
Luminous Capital,1,1,1,0,0,0
Stellar Ventures,1,0,1,1,1,0
Eta Industries,1,0,1,0,0,1
Nova Logistics,1,0,0,1,0,1
Aether Startup,0,1,1,1,1,0
Pi Solutions,1,0,1,1,0,1
Alpha Dynamics,0,1,1,0,1,0
Aether Labs,0,0,1,1,0,0
Phi Industries,0,0,1,1,0,0
Zenith Tech,1,0,0,1,0,1
Luminous Systems,1,0,0,1,0,1
Phi Innovations,0,1,0,0,0,0
Upsilon Group,1,1,0,0,1,0
Eta Tech,1,0,0,0,0,0
Pi Ventures,0,0,1,0,1,0
Vanguard Corp,1,0,1,0,1,0
Rho Startup,1,1,0,0,0,0
Chi Enterprises,1,1,1,0,1,0
Delta Tech,1,1,0,0,0,0
Rho Solutions,1,0,1,0,0,1
Kappa Partners,0,0,1,0,0,0
Omega Industries,1,0,0,0,0,0
Aero Media,1,1,0,0,0,0
Mu Holdings,0,1,0,1,1,0
Pi Innovations,0,1,0,0,0,0
Nu Group,1,1,1,0,0,0
Nexus Networks,0,0,1,0,0,0
Pinnacle Networks,1,0,1,0,1,0
Rho Industries,0,0,1,0,0,0
Zenith Startup,1,0,0,1,0,1
Pinnacle Enterprises,1,0,1,0,0,1
Theta Global,1,1,0,1,0,0
Nu Holdings,1,0,1,0,0,1
Nexus Partners,1,0,0,1,0,1
Phi Group,1,1,1,1,1,0
Lambda Tech,0,1,1,0,1,0
Pi Global,0,0,0,0,0,0
Epsilon Group,1,1,0,1,0,0
Pi Logistics,1,0,1,1,0,1
Stellar Systems,0,1,1,0,0,0
Theta Group,0,0,1,1,0,0
Nova Media,1,1,1,1,0,0
Lambda Labs,1,1,1,0,0,0
Apex Systems,0,0,0,0,0,0
Pinnacle Tech 142,0,0,0,0,0,0
Chi Partners,1,0,1,0,0,1
Beta Capital,1,0,0,1,1,0
Aero Partners,1,0,1,0,0,1
Stellar Labs,0,0,1,0,0,0
Cyber Logistics,1,0,1,1,0,1
Zeta Holdings,0,0,0,0,0,0
Phi Networks,1,0,1,1,0,1
Zeta Labs,0,0,1,0,0,0
Gamma Corp,1,0,0,0,0,0
Theta Capital,1,0,0,0,0,0
Theta Solutions,1,0,0,0,0,0
Quantum Dynamics,1,0,1,1,0,1
Upsilon Media,1,1,1,0,0,0
Omega Tech,1,0,1,1,0,1
Omega Group 725,0,0,1,1,0,0
Pinnacle Labs,1,1,1,0,0,0
Zeta Innovations,1,0,1,1,0,1
Beta Labs,1,0,0,1,0,1
Titan Innovations,1,0,0,0,0,0
Aether Systems 708,1,1,1,0,0,0
Nexus Systems,1,0,1,1,0,1
Aether Networks,1,0,0,0,0,0
Phi Startup,1,1,1,0,0,0
Sigma Capital,1,0,0,0,0,0
Omicron Ventures,0,0,1,0,1,0
Aether Global,1,0,1,0,1,0
Luminous Global,1,0,0,0,1,0
Synapse Startup,1,0,0,1,0,1
Kappa Capital,1,0,0,1,0,1
